No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5,Total_Nominal_Meleset,Persentase_Simpangan (%)
001966/26/SBY,1765500.0,3,1,1000000.0000000001,1765500.0,390500.0,0.0,375000.0,0.0,0.0,0.0,0.0,0.0,765500.0,43.36
005903/26/JKT,121375.0,1,1,121375.0,121375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
758/26/01/517/VX,12250.0,1,1,12250.0,12250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106/25/09/836/LI,292125.0,1,1,292125.0,292125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865/25/09/145/X,110125.0,1,2,110125.0,103634.48928064719,0.0,6490.510719352823,0.0,0.0,0.0,0.0,0.0,0.0,6490.5107193528165,5.89
481/25/12/931/VYR1,1045543.0,1,2,1045543.0,1010014.7670655679,0.0,35528.232934432104,0.0,0.0,0.0,0.0,0.0,0.0,35528.232934432104,3.4
035904/25/SBY,595500.0,1,1,595500.0,595500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345/25/09/008/X,40125.0,1,2,40125.0,36804.673190273,0.0,3320.3268097269965,0.0,0.0,0.0,0.0,0.0,0.0,3320.326809726997,8.27
170/25/09/037/VZ,542625.0,1,1,542625.0,542625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509/25/10/721/VZ,275125.0,1,2,275125.0,253589.80536523706,0.0,21535.19463476296,0.0,0.0,0.0,0.0,0.0,0.0,21535.19463476295,7.83
048276/25/SBY,588000.0,2,1,588000.0,588000.0,588000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294000.0,50.0
794/25/12/926/X,255125.0,1,2,255125.0,247104.8586584326,0.0,8020.141341567413,0.0,0.0,0.0,0.0,0.0,0.0,8020.1413415674015,3.14
598/25/12/648/X,355125.0,1,2,355125.0,333289.3743046253,0.0,21835.62569537469,0.0,0.0,0.0,0.0,0.0,0.0,21835.625695374685,6.15
088/25/10/255/X,72625.0,1,2,72625.0,59084.991013941006,0.0,13540.00898605899,0.0,0.0,0.0,0.0,0.0,0.0,13540.008986058992,18.64
696/25/09/099/X,642625.0,1,2,642625.0,621881.8825971656,0.0,20743.117402834345,0.0,0.0,0.0,0.0,0.0,0.0,20743.11740283435,3.23
000048/26/BLC,760500.0,1,1,760500.0,760500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040468/25/SBY,255500.0,1,1,255500.0,255500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
882/25/08/363/VZ,111375.0,1,2,111375.0,109588.27503565919,0.0,1786.7249643407984,0.0,0.0,0.0,0.0,0.0,0.0,1786.7249643408063,1.6
220/25/10/113/X,138875.0,1,2,138875.0,119225.30762987012,0.0,19649.692370129877,0.0,0.0,0.0,0.0,0.0,0.0,19649.69237012988,14.15
417/25/10/783/X,155125.0,1,2,155125.0,151245.30762189275,0.0,3879.692378107266,0.0,0.0,0.0,0.0,0.0,0.0,3879.69237810726,2.5
746/25/09/488/XXXI,129125.0,1,1,129125.0,129125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
005143/25/MKS,717404.0,1,1,717404.0,717404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044438/25/SBY,90500.0,1,1,90500.0,90500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
