No_Invoice,Total_Piutang,Jumlah_Termin_Aktual,Jumlah_Termin_Prediksi,Aktual_Bayar_1,Prediksi_Bayar_1,Aktual_Bayar_2,Prediksi_Bayar_2,Aktual_Bayar_3,Prediksi_Bayar_3,Aktual_Bayar_4,Prediksi_Bayar_4,Aktual_Bayar_5,Prediksi_Bayar_5
035674/25/SBY,1384875.0,1,1,1384875.0,1384875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924/25/11/196/X,167625.0,1,2,167625.0,157099.47764774677,0.0,10525.522352253249,0.0,0.0,0.0,0.0,0.0,0.0
047626/25/SBY,289500.0,1,2,289500.0,205340.33333333334,0.0,84159.66666666667,0.0,0.0,0.0,0.0,0.0,0.0
048339/25/SBY,730125.0,1,1,730125.0,730125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169/25/09/780/X,1160125.0,1,1,1160125.0,1160125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643/25/09/704/X,455125.0,1,2,455125.0,440573.4920411407,0.0,14551.507958859342,0.0,0.0,0.0,0.0,0.0,0.0
396/25/09/013/X,346125.0,1,1,346125.0,346125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
986/25/11/731/VF,418125.0,1,1,418125.0,418125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030543/25/JKT,25000.0,1,2,25000.0,18147.02499602395,0.0,6852.975003976051,0.0,0.0,0.0,0.0,0.0,0.0
034106/25/SBY,25000.0,1,2,25000.0,18147.02499602395,0.0,6852.975003976051,0.0,0.0,0.0,0.0,0.0,0.0
803/25/09/801/X,530125.0,1,2,530125.0,519310.33749898087,0.0,10814.662501019126,0.0,0.0,0.0,0.0,0.0,0.0
967/25/09/243/X,1130125.0,1,2,1130125.0,1093782.5618750474,0.0,36342.43812495257,0.0,0.0,0.0,0.0,0.0,0.0
940/25/10/395/X,80125.0,1,2,80125.0,74129.72941309915,0.0,5995.27058690085,0.0,0.0,0.0,0.0,0.0,0.0
764/25/11/710/X,580125.0,1,2,580125.0,571890.7979726269,0.0,8234.202027373107,0.0,0.0,0.0,0.0,0.0,0.0
034290/24/SBY,147500.0,1,1,147500.0,147500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961/25/09/561/X,1849688.0,1,1,1849688.0,1849688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862/25/11/176/VA,117625.0,1,3,117625.0,104343.67396880189,0.0,8040.011083900497,0.0,5241.314947297607,0.0,0.0,0.0,0.0
580/25/09/660/XRM1,-12500.0,0,0,-12500.0,-12500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
548/25/12/507/X,80125.0,1,2,80125.0,74129.72941309915,0.0,5995.27058690085,0.0,0.0,0.0,0.0,0.0,0.0
398/25/12/567/X,37625.0,1,2,37625.0,36104.923589086306,0.0,1520.0764109136944,0.0,0.0,0.0,0.0,0.0,0.0
430/25/11/612/VZRM1,-37500.0,0,0,-37500.0,-37500.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
842/25/11/368/X,217625.0,1,2,217625.0,213240.6482895524,0.0,4384.351710447612,0.0,0.0,0.0,0.0,0.0,0.0
147/25/09/711/X,567625.0,1,1,567625.0,567625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036447/25/SBY,85500.0,1,2,85500.0,83590.65374889782,0.0,1909.3462511021698,0.0,0.0,0.0,0.0,0.0,0.0
232/26/01/357/X,416125.0,1,1,416125.0,416125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756/25/11/086/X,317625.0,1,2,317625.0,296232.4074522927,0.0,21392.59254770732,0.0,0.0,0.0,0.0,0.0,0.0
538/25/10/372/XR1,1543625.0,1,1,1543625.0,1543625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649/25/11/599/X,72625.0,1,2,72625.0,58819.416142281436,0.0,13805.583857718562,0.0,0.0,0.0,0.0,0.0,0.0
576/25/09/279/X,50125.0,1,2,50125.0,46575.82619363414,0.0,3549.1738063658568,0.0,0.0,0.0,0.0,0.0,0.0
